Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,nesterov,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,nesterov,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,nesterov,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Project with gradient,nesterov-sign,16.767,0.0005
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,Logistic Sigmoid,nesterov-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,adam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,adam,1.798,0.0789
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,adam,15.327,0.0998
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,radam,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,radam,7.745,0.0831
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,radam,55.138,0.0998
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,rmsprop,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,rmsprop,0.532,0.0919
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,rmsprop,21.711,0.0995
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,plain,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,plain,5.598,0.0874
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,plain,1439.317,0.1
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,plain-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,plain-sign,1.372,0.05
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,plain-sign,14.308,0.0969
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,momentum,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,momentum,2.353,0.0096
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,momentum,127.772,0.0999
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,momentum-sign,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,momentum-sign,0.882,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,momentum-sign,2.8,0.0967
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,nesterov,N/A,N/A
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,nesterov,2.202,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,nesterov,174.728,0.1
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logarithmic Barrier,nesterov-sign,ERR,ERR
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Project with gradient,nesterov-sign,0.82,0.0
network2_packets_sent,K=8 T=5 ,1,0.1_reward__min_goal,	397,141,Logistic Sigmoid,nesterov-sign,3.031,0.0967
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,adam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,adam,196.675,3.499
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,adam,841.611,3.4999
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,radam,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,radam,454.228,3.4985
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,radam,1511.107,3.4996
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,rmsprop,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,rmsprop,116.292,3.498
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,rmsprop,3162.024,3.4997
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,plain,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,plain,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,plain,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,plain-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,plain-sign,208.929,3.4896
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,plain-sign,1802.821,3.4996
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,momentum,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,momentum,4161.903,3.4997
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,momentum,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,momentum-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,momentum-sign,118.419,3.4863
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,momentum-sign,613.107,3.4992
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,nesterov,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,nesterov,4301.143,3.4997
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,nesterov,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logarithmic Barrier,nesterov-sign,N/A,N/A
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Project with gradient,nesterov-sign,103.726,3.4833
network2_priorities_dropped_packets,K=8 T=5 ,1,3.5_reward__min_goal,	2822,889,Logistic Sigmoid,nesterov-sign,682.684,3.4976
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,adam,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,adam,49.889,0.8505
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,adam,144.383,0.85
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,radam,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,radam,111.65,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,radam,268.847,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,rmsprop,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,rmsprop,25.28,0.8501
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,rmsprop,729.489,0.85
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,plain,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,plain,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,plain,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,plain-sign,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,plain-sign,38.936,0.8514
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,plain-sign,237.527,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,momentum,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,momentum,2573.008,0.85
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,momentum,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,momentum-sign,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,momentum-sign,28.064,0.8502
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,momentum-sign,84.439,0.85
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,nesterov,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,nesterov,2008.84,0.85
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,nesterov,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logarithmic Barrier,nesterov-sign,N/A,N/A
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Project with gradient,nesterov-sign,27.834,0.8501
drone,N=5 R=1 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,757,Logistic Sigmoid,nesterov-sign,77.075,0.8502
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Logarithmic Barrier,adam,N/A,N/A
drone,N=5 R=3 ,1,"0.85_probability__max_""notbad"" U ""goal""",	3678,2641,Project with gradient,adam,118.399,0.8512
