Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,pso,31.2605,0.1469
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.098,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.103,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.103,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.097,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,	787,96,lr=0.1 args=--constraint-method project-gradient,momentum-sign,0.098,0.0
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,3.0738,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,3.0753,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,3.3395,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,3.3402,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,qcqp,3.3395,0.0008
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,2,0.001_probability__min_unfair,?,?,lr=0.1 args=--constraint-method project-gradient,pso,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,15.255,0.0002
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,17.524,0.0002
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.1 args=--constraint-method project-gradient,momentum-sign,31.826,0.0
