Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project without gradient,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project with gradient,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project without gradient,momentum-sign,97.826,0.001
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project with gradient,momentum-sign,106.086,0.0009
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project without gradient,nesterov-sign,102.878,0.0005
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Project with gradient,nesterov-sign,192.81,0.0009
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.01 Logistic Sigmoid,nesterov-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logarithmic Barrier,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project without gradient,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project with gradient,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logistic Sigmoid,adam,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logarithmic Barrier,momentum-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project without gradient,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project with gradient,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logistic Sigmoid,momentum-sign,N/A,N/A
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Logarithmic Barrier,nesterov-sign,ERR,ERR
nrp,K=16 ,5,0.001_probability__min_unfair,	5806,705,lr=0.001 Project without gradient,nesterov-sign,N/A,N/A
